Weather_Challenge_p2,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
494,Tigil,RU,31.24,clear sky,57.8,158.67,Tigil'
495,Qianguo,CN,43.57,overcast clouds,45.12,124.86,Guo'er Luosi Hotel
496,Cortez,US,55.4,clear sky,37.35,-108.58,Sand Canyon National 9 Inn
497,Juneau,US,35.6,broken clouds,58.3,-134.42,"Baranof Downtown, BW Signature Collection"
499,Henties Bay,,57.99,clear sky,-22.12,14.28,Fishermans Guest House
500,Selma,US,50.0,clear sky,32.41,-87.02,Holiday Inn Express & Suites Selma
501,Kermanshah,IR,46.4,clear sky,34.32,47.07,Sina Hotel
503,Albury,AU,62.6,overcast clouds,-36.08,146.92,Comfort Inn & Suites Georgian
506,Korocha,RU,46.4,overcast clouds,50.81,37.2,Dubravushka
507,Nuuk,GL,37.53,overcast clouds,64.17,-51.74,Vandrehuset
508,Erzin,TR,66.0,scattered clouds,36.95,36.2,Artemis Otel
510,Glens Falls,US,35.6,clear sky,43.31,-73.64,Super 8 by Wyndham Queensbury Glens Falls
511,Mananjary,MG,64.63,broken clouds,-19.16,46.8,
512,Motala,IN,69.28,clear sky,20.68,76.21,PWD Rest House
516,Kamaishi,JP,44.6,scattered clouds,39.28,141.86,Hotel Route Inn Kamaishi
519,Sharlyk,RU,29.84,overcast clouds,52.93,54.74,Gostinitsa
520,Saint-Francois,FR,41.0,light rain,46.42,3.91,Manoir Du Bonheur
521,Jieshi,CN,66.99,few clouds,22.82,115.83,Yuehai Hotel
522,Bloemfontein,ZA,64.4,broken clouds,-29.12,26.22,Protea Hotel by Marriott Bloemfontein
523,Salamiyah,SY,65.12,scattered clouds,35.01,37.05,Gondolas Forum grandchildren and grandparents
525,Kushiro,JP,39.2,few clouds,43.11,144.15,Akan Nature Recreational Village Campground
528,Bakhmach,UA,50.45,broken clouds,51.18,32.81,
529,Batemans Bay,AU,69.01,scattered clouds,-35.71,150.18,
530,Qianan,CN,43.39,overcast clouds,44.99,124.06,
531,Fatwa,IN,68.0,mist,25.52,85.32,
538,Nantucket,US,39.0,few clouds,41.28,-70.1,
539,Paamiut,GL,38.37,light snow,61.99,-49.67,
542,Michigan City,US,44.6,clear sky,41.71,-86.9,
545,Baruun-Urt,MN,32.31,broken clouds,46.68,113.28,
553,Medea,DZ,53.6,scattered clouds,36.27,2.77,
554,Baoqing,CN,32.31,clear sky,46.32,132.2,
556,Miskolc,HU,49.51,broken clouds,48.1,20.79,
558,Iranshahr,IR,62.6,few clouds,27.21,60.69,
561,Vrangel,RU,44.82,scattered clouds,42.73,133.08,
563,Lyndon,US,64.4,clear sky,38.61,-95.68,
567,Qaqortoq,GL,48.2,light snow,60.72,-46.03,
568,Yangcun,CN,55.99,few clouds,29.98,118.17,
569,Aasiaat,GL,31.98,overcast clouds,68.71,-52.87,
573,Darhan,MN,30.27,light snow,49.49,105.92,
